Newspaper,Heading,Date,Time,URL,Cluster,cluster_similarity_value
Time of India,Rajasthan board declared class 10 results 2019 today; 79.85% pass,2019-06-03, 20:10:00,https://timesofindia.indiatimes.com/home/education/news/rajasthan-board-declared-class-10-results-2019-today-79-85-pass/articleshow/69637171.cms,0,0.13
India Today, JMI researchers discover formula to kill antibiotic-resistant bacteria,2019-06-03,20:54,https://www.indiatoday.in/education-today/news/story/jmi-researchers-discover-formula-to-kill-antibiotic-resistant-bacteria-1541552-2019-06-03,0,0.06
Hindiustan Times,How to make the most of your retake year ,2019-05-30,17:50:00,https://www.hindustantimes.com/education/how-to-make-the-most-of-your-retake-year/story-WhZ1rjj1dZl4Yh0RigZ7oI.html,0,0.08
India Today, 6 rules to building a solid resume that will surely get you the job,2019-06-03,20:54,https://www.indiatoday.in/education-today/featurephilia/story/6-rules-to-building-a-solid-resume-that-will-surely-get-you-the-job-1541546-2019-06-03,0,0.07
Time of India,"Niche Course: NGO Management aims to offer an edge to HIV workers, jail inmates",2019-06-03, 19:49:00,https://timesofindia.indiatimes.com/home/education/news/niche-course-ngo-management-aims-to-offer-an-edge-to-hiv-workers-jail-inmates/articleshow/69636940.cms,0,0.07
India Today, Body shaming and teasing kids for being fat leads to more weight gain,2019-06-03,20:54,https://www.indiatoday.in/education-today/news/story/body-shaming-and-teasing-kids-for-being-fat-leads-to-more-weight-gain-1541503-2019-06-03,0,0.06
Time of India,Research centre to develop technologies for the differently abled,2019-06-03, 20:02:00,https://timesofindia.indiatimes.com/home/education/news/research-centre-to-develop-technologies-for-the-differently-abled/articleshow/69637089.cms,0,0.08
Time of India,Talking Point: Education reforms needed in next five years,2019-06-03, 20:24:00,https://timesofindia.indiatimes.com/home/education/news/talking-point-education-reforms-needed-in-next-five-years/articleshow/69637416.cms,0,0.06
Time of India,"ARPIT-Swayam at JNU to target 6,000 in-service teachers",2019-06-03, 19:35:00,https://timesofindia.indiatimes.com/home/education/news/arpit-swayam-at-jnu-to-target-6000-in-service-teachers/articleshow/69636798.cms,0,0.07
Time of India,Cambridge Assessment plans to expand in India,2019-06-03, 19:22:00,https://timesofindia.indiatimes.com/home/education/news/cambridge-assessment-plans-to-expand-in-india/articleshow/69636560.cms,0,0.07
India Today, List of 6 manned moon missions: These people set foot on lunar surface after Neil Armstrong,2019-06-03,20:54,https://www.indiatoday.in/education-today/gk-current-affairs/story/manned-moon-mission-lunar-surface-moon-landing-nasa-1408563-2018-12-13,0,0.05
Time of India,"TOEFL duration reduced, to include best scores feature",2019-06-03, 20:27:00,https://timesofindia.indiatimes.com/home/education/news/toefl-duration-reduced-to-include-best-scores-feature/articleshow/69637459.cms,0,0.06
India Today," [WATCH] Nipah virus can be transmitted through contaminated water and fruits, warns govt advisory",2019-06-03,20:54,https://www.indiatoday.in/education-today/video/-watch-nipah-virus-can-be-transmitted-through-contaminated-water-and-fruits-warns-govt-advisory-1238575-2018-05-22,0,0.05
India Today, 20 words to use instead of 'sad',2019-06-03,20:54,https://www.indiatoday.in/education-today/grammar-vocabulary/story/20-words-to-use-instead-of-sad-1503076-2019-04-16,0,0.07
India Today, Is your child getting bullied? Here's what you can do about it!,2019-06-03,20:54,https://www.indiatoday.in/education-today/featurephilia/story/is-your-child-getting-bullied-here-s-what-you-can-do-about-it-1541334-2019-06-03,0,0.05
India Today, 10 ways to politely say 'NO',2019-06-03,20:54,https://www.indiatoday.in/education-today/grammar-vocabulary/story/10-ways-to-politely-say-no-1505465-2019-04-19,0,0.07
Time of India,Return of Boards in class V and VIII in Punjab,2019-06-03, 20:20:00,https://timesofindia.indiatimes.com/home/education/news/return-of-boards-in-class-v-and-viii-in-punjab/articleshow/69637357.cms,1,0.21
