Newspaper,Heading,Date,Time,URL,Cluster,cluster_similarity_value
Time of India,HPSC paper leak: Rohtak resident Satish Rathi turned out to be mastermind,2019-05-29,20:16:00,https://timesofindia.indiatimes.com/home/education/news/hpsc-paper-leak-rohtak-resident-satish-rathi-turned-out-to-be-mastermind/articleshow/69565559.cms,0,1.0
Hindiustan Times,"APPSC Group 1 services answer key 2019 released, raise objections now",2019-05-29,15:45:00,https://www.hindustantimes.com/education/appsc-group-1-services-answer-key-2019-released-raise-objections-till-june-10/story-f5mgJo3eJmnMSjubxxzwcM.html,1,0.75
Time of India,Navodaya Result 2019: NVS Class 6th result and selection test list released at navodaya.gov.in,2019-05-29,15:07:00,https://timesofindia.indiatimes.com/home/education/news/navodaya-result-nvs-class-6th-result-2019-announced-at-navodaya-nic-in/articleshow/69531093.cms,2,0.58
Time of India,DTTE Delhi releases CET 2019 Admit Card @cetdelhi.nic.in,2019-05-29,18:24:00,https://timesofindia.indiatimes.com/home/education/news/dtte-delhi-releases-cet-2019-admit-card-cetdelhi-nic-in/articleshow/69563738.cms,3,0.45
Hindiustan Times,CISF admit card for head constable posts to be released on June 1 at cisfrectt.in ,2019-05-29,19:12:00,https://www.hindustantimes.com/education/cisf-admit-card-for-head-constable-posts-to-be-released-on-june-1-at-cisfrectt-in/story-PFWZU6yjyjPHrbG7otysBO.html,3,0.39
Hindiustan Times,Last date for PG medical admissions 2019 extended to May 31,2019-05-29,16:52:00,https://www.hindustantimes.com/education/last-date-for-pg-medical-admissions-2019-extended-to-may-31/story-bFpcWrrwuFqsjtEWGA7PvJ.html,4,0.44
Time of India,Five medical colleges approved by MCI in Telangana,2019-05-29,23:28:00,https://timesofindia.indiatimes.com/home/education/news/five-medical-colleges-approved-by-mci-in-telangana/articleshow/69568241.cms,4,0.28
Indian Express,"Over 2000 PG medical seats vacant, deadline extended to May 31",2019-05-29,6:19:38 pm,https://indianexpress.com/article/education/neet-over-2000-pg-medical-seats-vacant-deadline-extended-to-may-31-5754843/,4,0.37
Time of India,DU announces admissions dates for academic session 2019-20,2019-05-29,22:01:00,https://timesofindia.indiatimes.com/home/education/news/du-announces-admissions-dates-for-academic-session-2019-20/articleshow/69567097.cms,4,0.31
Time of India,NEET 2019 application correction window re-opened; answer keys expected soon,2019-05-29,11:06:00,https://timesofindia.indiatimes.com/home/education/news/neet-2019-application-correction-window-re-opened-answer-keys-expected-soon/articleshow/69553592.cms,5,0.55
Hindiustan Times,"Maharashtra board MSBSHSE 12th result 2019: Science sees dip, goes against the stream",2019-05-29,14:02:00,https://www.hindustantimes.com/education/maharashtra-board-msbshse-12th-result-2019-science-sees-dip-goes-against-the-stream/story-hc7uBv3p6KEiKK6OIBUw3M.html,6,0.21
Hindiustan Times,Maharashtra HSC vs CBSE results: College admission gets tougher for state board students,2019-05-29,14:28:00,https://www.hindustantimes.com/education/maharashtra-hsc-vs-cbse-college-admission-gets-tougher-for-state-board-students/story-rxraju4nVkKHyefN2X9XON.html,6,0.23
Indian Express,Maharashtra Board HSC results 2019: Mumbai division eighth with 83.85 pass percentage,2019-05-29,4:45:12 pm,https://indianexpress.com/article/education/hsc-exam-results-2019-mumbai-division-fourth-with-more-than-83-per-cent-5753549/,6,0.25
Hindiustan Times,"Mumbai auto driver scores 51% in HSC exam, wants to continue studies ",2019-05-29,07:52:00,https://www.hindustantimes.com/education/auto-driver-scores-51-wants-to-continue-studies/story-zdlFJ7PK6fNoymr2ZWJLjN.html,6,0.25
Time of India,National Award-winning actor Rinku Rajguru scores 82% in Maharashtra HSC exam,2019-05-29,11:48:00,https://timesofindia.indiatimes.com/home/education/news/national-award-winning-actor-rinku-scores-82-in-maharashtra-hsc-exam/articleshow/69554247.cms,6,0.24
Indian Express,"Now, plant 10 trees to get passing certificates in Philippines",2019-05-29,2:36:13 pm,https://indianexpress.com/article/education/study-abroad/now-plant-10-trees-to-get-pass-certificates-in-philippines-5754403/,6,0.2
Time of India,SSC MTS 2019 registration closes today; apply online before 5 pm,2019-05-29,15:38:00,https://timesofindia.indiatimes.com/home/education/news/ssc-mts-application-closing-today-at-5-pm-check-important-points/articleshow/69551993.cms,7,1.0
Time of India,HSCAP Kerala: Second allotment result 2019 declared @hscap.kerala.gov.in,2019-05-29,22:33:00,https://timesofindia.indiatimes.com/home/education/news/hscap-second-allotment-result-2019-declared-hscap-kerala-gov-in/articleshow/69567418.cms,8,0.23
Indian Express,RBSE Rajasthan Board 10th result 2019 likely to release in June,2019-05-29,12:41:17 pm,https://indianexpress.com/article/education/bser-rbse-rajasthan-board-class-10-result-2019-check-date-and-time-rajresults-nic-in-5744183/,8,0.27
Time of India,APTRANSCO declares AEE 2019 results @aptransco.co.in; download PDF here,2019-05-29,17:33:00,https://timesofindia.indiatimes.com/home/education/news/aptransco-declares-aee-2019-results-aptransco-co-in-download-pdf-here/articleshow/69563248.cms,8,0.19
Hindiustan Times,Uttarakhand UBSE Result 2019: What anxious students waiting for Class 10 and Class 12 board exam results said,2019-05-29,18:45:00,https://www.hindustantimes.com/education/uttarakhand-ubse-result-2019-what-anxious-students-waiting-for-class-10-and-class-12-board-exam-results-said/story-79dkqtOuCTBt8gpbsaNHwO.html,8,0.25
Time of India,Uttarakhand Board 10th and 12th results 2019 to be out tomorrow @ ubse.uk.gov.in,2019-05-29,19:53:00,https://timesofindia.indiatimes.com/home/education/news/uttarakhand-10th-and-12th-result-on-may-30-ubse-uk-gov-in/articleshow/69556323.cms,8,0.43
Hindiustan Times,"Uttarakhand UBSE 10th, 12th result 2019 to be declared tomorrow at ubse.uk.gov.in",2019-05-29,18:45:00,https://www.hindustantimes.com/education/uttarakhand-ubse-10th-12th-result-2019-to-be-declared-tomorrow-at-ubse-uk-gov-in/story-b7KH0wLnnjRTfJBBYx0ItK.html,8,0.47
Time of India,SAT Practice Test: How and where to take free practice tests?,2019-05-29,11:26:00,https://timesofindia.indiatimes.com/home/education/news/sat-practice-test-how-and-where-to-take-free-practice-tests/articleshow/69553903.cms,9,0.2
Indian Express,DU admissions 2019: Delhi University to test applicants’ educational certificates forensically from this year,2019-05-29,12:52:19 pm,https://indianexpress.com/article/education/du-admissions-2019-delhi-university-to-test-applicants-educational-certificates-forensically-from-this-year/,9,0.33
Hindiustan Times,DU admissions 2019: Online registration for Delhi University UG courses opens on Thursday,2019-05-29,23:54:00,https://www.hindustantimes.com/education/du-admissions-2019-online-registration-for-delhi-university-ug-courses-opens-on-thursday/story-v5g3Lzx19cfGnqCUpjJGgP.html,9,0.36
Hindiustan Times,Delhi University’s undergraduate admissions set to begin this weekend,2019-05-29,10:47:00,https://www.hindustantimes.com/education/delhi-university-s-undergraduate-admissions-set-to-begin-this-weekend/story-r53sOWpsgXtLYZW6pQWwzO.html,9,0.3
Time of India,DU admission registration process 2019 to commence on May 30,2019-05-29,22:43:00,https://timesofindia.indiatimes.com/home/education/news/du-admission-registration-process-2019-to-commence-on-may-30/articleshow/69566339.cms,9,0.27
Indian Express,DU admissions 2019: Registration for UG courses to begin from tomorrow,2019-05-29,9:09:42 pm,https://indianexpress.com/article/education/du-to-run-forensic-test-in-education-certificates-of-applicants-du-ac-in-5754850/,9,0.37
Time of India,"RBI Assistant Final Result 2017 announced @ rbi.org.in, here's direct link",2019-05-29,14:47:00,https://timesofindia.indiatimes.com/home/education/news/rbi-assistant-final-result-2017-announced-rbi-org-in-heres-direct-link/articleshow/69556906.cms,10,0.35
Time of India,SBI Clerk Prelims 2019 Admit card released @ sbi.co.in/careers; Download link here,2019-05-29,17:56:00,https://timesofindia.indiatimes.com/home/education/news/sbi-clerk-prelims-2019-admit-card-released-sbi-co-in/careers-download-link-here/articleshow/69563579.cms,10,0.37
Hindiustan Times,"SSC CGL Tier 1 hall ticket 2019 for all regions released, here’s direct link to download admit card",2019-05-29,12:10:00,https://www.hindustantimes.com/education/ssc-cgl-tier-1-hall-ticket-2019-for-all-regions-released-here-s-direct-link-to-download-admit-card/story-nbtg3Cf1HBtI4YQJZ85nZP.html,10,0.37
