Newspaper,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Hindiustan Times, Mind the Malhotras review Mini Mathur Cyrus Sahukar ’ s comedy is missing the magic ingredient,television,2019-06-08,18:23:00,https://www.hindustantimes.com/tv/mind-the-malhotras-review-mini-mathur-cyrus-sahukar-s-comedy-is-missing-the-magic-ingredient/story-vYf2TepZuLnDnZbdv6drPM.html,0,0.33
Hindiustan Times, Aashka Goradia pole dancing to Linkin Park ’ s In The End is the answer to your Monday blues Watch,television,2019-06-10,16:55:00,https://www.hindustantimes.com/tv/aashka-goradia-pole-dancing-to-linkin-park-s-in-the-end-is-the-answer-to-your-monday-blues-watch/story-QTbj1IiJjh411XBpuJZMLL.html,0,0.27
Hindiustan Times, Chernobyl is everything they say it is Watch it now,television,2019-06-08,16:08:00,https://www.hindustantimes.com/tv/chernobyl-is-everything-they-say-it-is-watch-it-now/story-rzpSWK2Bpps6YElrLtucMP.html,0,0.24
India Today, TV newsmakers Charu Asopa and Rajeev Sen get married secretly Manish Naggdev says Srishty Rode used him for professional gains,television,2019-06-11,00:56,https://www.indiatoday.in/television/top-stories/story/tv-newsmakers-charu-asopa-and-rajeev-sen-get-married-secretly-manish-naggdev-says-srishty-rode-used-him-for-professional-gains-1545866-2019-06-10,0,0.21
India Today, Bigg Boss 13 or Nach Baliye 9 Salman Khan announces comeback on TV shares glimpse from sets,television,2019-06-11,00:56,https://www.indiatoday.in/television/reality-tv/story/bigg-boss-13-or-nach-baliye-9-salman-khan-announces-comeback-on-tv-shares-glimpse-from-sets-1545875-2019-06-10,1,0.31
Hindiustan Times, Salman Khan shares a new video Is he on the sets of Bigg Boss 13 or Nach Baliye 9 Watch,television,2019-06-09,15:30:00,https://www.hindustantimes.com/tv/salman-khan-shares-a-new-video-is-he-on-the-sets-of-bigg-boss-13-or-nach-baliye-9-watch/story-H3o8U73IGq55o46YcFPDfP.html,1,0.26
India Today, Siddharth Shukla to Devoleena Bhattacharjee Are these celebs participating in Bigg Boss 13,television,2019-06-11,00:56,https://www.indiatoday.in/television/photo/siddharth-shukla-to-devoleena-bhattacharjee-are-these-celebs-participating-in-bigg-boss-13-1546064-2019-06-10,1,0.23
Hindiustan Times, Bigg Boss 13 to begin September Salman Khan to return as host Everything you need to know,television,2019-05-29,13:34:00,https://www.hindustantimes.com/tv/bigg-boss-13-to-begin-september-salman-khan-to-return-as-host-everything-you-need-to-know/story-NkSBJevC6ZTxgrewE1uffI.html,1,0.25
Hindiustan Times, Path breaking or propaganda Russians are divided about HBO ’ s Chernobyl,television,2019-06-07,11:07:00,https://www.hindustantimes.com/tv/path-breaking-or-propaganda-russians-are-divided-about-hbo-s-chernobyl/story-jvvRESI0YEEHkFyImvQ3cO.html,2,0.1
Indian Express, Female audience are getting tired of being portrayed as stupid and dumb Taapsee Pannu,television,2019-06-10,14:39:57,https://indianexpress.com/article/entertainment/bollywood/taapsee-pannu-game-over-film-5773203/,2,0.1
Indian Express, Kick 2 Sajid Nadiadwala to return as director for Salman Khan film,television,2019-06-10,18:14:04,https://indianexpress.com/article/entertainment/bollywood/kick-2-sajid-nadiadwala-to-return-as-director-5773647/,2,0.08
Hindiustan Times, Ellen DeGeneres recounts sexual assault by stepfather as a teenager,television,2019-05-29,11:38:00,https://www.hindustantimes.com/tv/ellen-degeneres-recounts-sexual-assault-by-stepfather-as-a-teenager/story-NsWXibKYTUY3kFZh3vhJ5L.html,2,0.09
Hindiustan Times, Salman Khan paid Rising Star winner Aftab Khan ’ s parent ’ s debts worth Rs 3 lakh,television,2019-06-10,14:36:00,https://www.hindustantimes.com/tv/rising-star-3-winner-aftab-singh-to-use-rs-10-lakh-prize-for-sister-s-wedding-salman-khan-paid-his-parent-s-debts/story-awxacDXB6k1LBgK9W7IppO.html,2,0.08
Hindiustan Times, Gautam Rode to perform Kathak in his debut play Aarohi,television,2019-06-07,11:04:00,https://www.hindustantimes.com/tv/gautam-rode-to-perform-kathak-in-his-debut-play-aarohi/story-xdhuT2poR5UakDPT2M0buM.html,2,0.08
India Today, The Kapil Sharma Show completes 50 episodes team members celebrate its massive success,television,2019-06-11,00:56,https://www.indiatoday.in/television/reality-tv/story/the-kapil-sharma-show-completes-50-episodes-team-members-celebrate-its-massive-success-1545826-2019-06-10,2,0.09
India Today, New mommy Chhavi Mittals advice on post pregnancy weight loss is worth a read,television,2019-06-11,00:56,https://www.indiatoday.in/television/celebrity/story/new-mommy-chhavi-mittal-s-advice-on-post-pregnancy-weight-loss-is-worth-a-read-1545775-2019-06-10,2,0.08
Hindiustan Times, Ranveer Singh roots for Mumbai dance group on America ’ s Got Talent ‘ Gully boys dancing like Peshwas ’,television,2019-06-04,09:35:00,https://www.hindustantimes.com/tv/ranveer-singh-roots-for-mumbai-dance-group-on-america-s-got-talent-gully-boys-dancing-like-peshwas/story-hMXZoa8VBbJ9XZL4PkMp2M.html,2,0.09
Indian Express, Vicky Kaushal to star in Karan Johar ’ s horror film Bhoot Part One The Haunted Ship,television,2019-06-10,12:33:25,https://indianexpress.com/article/entertainment/bollywood/vicky-kaushal-bhoot-part-one-the-haunted-ship-horror-karan-johar-5772740/,2,0.17
Indian Express, Amitabh Bachchan ’ s secretary Sheetal Jain dies at 77 actor remembers close aide,television,2019-06-09,16:24:39,https://indianexpress.com/article/entertainment/bollywood/amitabh-bachchan-secretary-sheetal-jain-dies-at-77-actor-remembers-close-aide-5772095/,3,0.58
Hindiustan Times, Hostages review Tisca Chopra Ronit Roy ’ s show is generic uninspired mess that captivates no one,television,2019-06-07,11:58:00,https://www.hindustantimes.com/tv/hostages-review-tisca-chopra-ronit-roy-s-show-is-generic-uninspired-mess-that-captivates-no-one/story-lHzhMXwVK8cUqGFjHMhIdM.html,4,0.14
Hindiustan Times, Kasautii Zindagii Kay New ‘ Mr Bajaj ’ Karan Singh Grover opens up on fumbling in front of old ‘ Mr Bajaj ’ Ronit Roy,television,2019-06-10,16:00:00,https://www.hindustantimes.com/tv/kasautii-zindagii-kay-new-mr-bajaj-karan-singh-grover-opens-up-on-fumbling-in-front-of-old-mr-bajaj-ronit-roy/story-GU4oNyzFS1CQyE6tMUCpPL.html,4,0.18
Hindiustan Times, Ronit Roy got injured had 17 stitches during Hostages shoot but refused to stop working,television,2019-06-06,17:34:00,https://www.hindustantimes.com/tv/ronit-roy-got-injured-had-17-stitches-during-hostages-shoot-but-refused-to-stop-working/story-z7NfE4Zlhz4SPbonVtHTEL.html,4,0.2
India Today, Did you know Karan Singh Grover played a rapist in original Kasautii Zindagii Kay,television,2019-06-11,00:56,https://www.indiatoday.in/television/soaps/story/did-you-know-karan-singh-grover-played-a-rapist-in-original-kasautii-zindagii-kay-1546022-2019-06-10,4,0.13
Hindiustan Times, Kasautii Zindagii Kay New ‘ Mr Bajaj ’ Karan Singh Grover opens up on fumbling in front of old ‘ Mr Bajaj ’ Ronit Roy,television,2019-06-10,16:00:00,https://www.hindustantimes.com/tv/kasautii-zindagii-kay-new-mr-bajaj-karan-singh-grover-opens-up-on-fumbling-in-front-of-old-mr-bajaj-ronit-roy/story-GU4oNyzFS1CQyE6tMUCpPL.html,4,0.13
Hindiustan Times, Kasautii Zindagii Kay 2 This is how Bipasha Basu reacted on seeing Karan Singh Grover as the new Mr Bajaj,television,2019-06-09,14:38:00,https://www.hindustantimes.com/tv/kasautii-zindagii-kay-2-this-is-how-bipasha-basu-reacted-on-seeing-karan-singh-grover-as-the-new-mr-bajaj/story-RWyWWM251DNurSTs9Xfr7M.html,4,0.12
India Today, Kasautii Zindagii Kay spoiler Heres why Mr Bajaj will force Prerna to marry him,television,2019-06-11,00:56,https://www.indiatoday.in/television/soaps/story/kasautii-zindagii-kay-spoiler-here-s-why-mr-bajaj-will-force-prerna-to-marry-him-1545851-2019-06-10,4,0.14
Hindiustan Times, Ekta Kapoor sets up a creche at office for son Ravie says ‘ should have built it a long time ago ’,television,2019-05-28,16:56:00,https://www.hindustantimes.com/tv/ekta-kapoor-sets-up-a-creche-at-office-for-son-ravie-says-should-have-built-it-a-long-time-ago/story-PVQ2AZObtMTWdJ5ViSI19M.html,5,0.09
India Today, Adaa Khan and Arhaan Behlls Sitaara to go off air actors say goodbye to fans,television,2019-06-11,00:56,https://www.indiatoday.in/television/video/adaa-khan-and-arhaan-behll-s-sitaara-to-go-off-air-actors-say-goodbye-to-fans-1545937-2019-06-10,5,0.09
India Today, Sanjay Suri to play Karisma Kapoors on screen husband in Mentalhood,television,2019-06-11,00:56,https://www.indiatoday.in/television/web-series/story/sanjay-suri-to-play-karisma-kapoor-s-on-screen-husband-in-mentalhood-1545971-2019-06-10,5,0.1
Indian Express, Sushmita Sen preps for her return It ’ s never done until we say it is done,television,2019-06-09,15:52:06,https://indianexpress.com/article/entertainment/bollywood/sushmita-sen-preps-for-her-bollywood-return-5771772/,5,0.1
India Today, Is Hina Khan Ekta Kapoors next Naagin Heres what she has to say,television,2019-06-11,00:56,https://www.indiatoday.in/television/soaps/story/is-hina-khan-ekta-kapoor-s-next-naagin-here-s-what-she-has-to-say-1545789-2019-06-10,5,0.11
Hindiustan Times, Eid Mubarak say TV stars as they go down memory lane,television,2019-06-05,15:57:00,https://www.hindustantimes.com/tv/eid-mubarak-say-tv-stars-as-they-go-down-memory-lane/story-PzTY8dumafFcZD1ttwS14N.html,5,0.11
India Today, Watch Inside video from Ekta Kapoors star studded birthday bash,television,2019-06-11,00:56,https://www.indiatoday.in/television/video/watch-inside-video-from-ekta-kapoor-s-star-studded-birthday-bash-1545456-2019-06-09,5,0.11
Hindiustan Times, Krushna Abhishek Kashmera Shah celebrate their twins ’ birthday Tusshar Kapoor Kiku Sharda attend See pics,television,2019-06-03,15:35:00,https://www.hindustantimes.com/tv/krushna-abhishek-kashmera-shah-celebrate-their-twins-birthday-tusshar-kapoor-kiku-sharda-attend-see-pics/story-hJZ59YDJJnJnk5gJMov01M.html,5,0.12
Hindiustan Times, ‘ All tyrants are afraid of losing power ’ Huma Qureshi Deepa Mehta on the pointed politics of Netflix ’ s Leila,television,2019-06-10,14:59:00,https://www.hindustantimes.com/tv/all-tyrants-are-afraid-of-losing-power-huma-qureshi-deepa-mehta-on-the-pointed-politics-of-netflix-s-leila/story-1geoMVhdWh6lY59tys2jXN.html,6,0.73
Hindiustan Times, Leila premiere Huma Qureshi Deepa Mehta Imran Khan Diana Penty walk the red carpet See pics,television,2019-06-07,21:46:00,https://www.hindustantimes.com/tv/leila-premiere-huma-qureshi-deepa-mehta-imran-khan-diana-penty-walk-the-red-carpet-see-pics/story-Ff3L1P095syQTHEg1Pp7LI.html,6,0.46
