Newspaper,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Hindiustan Times, The hardest thing to mimic is the hair says world ’ s most famous MJ impersonator,music,2019-03-16,18:49:00,https://www.hindustantimes.com/music/the-hardest-thing-to-mimic-is-the-hair-says-world-s-most-famous-mj-impersonator/story-3wyRPLDJyiylhp8izMDdFO.html,7,0.32
Hindiustan Times, Z Boys ’ Sid If you can dream it you can make it happen,music,2019-04-01,17:17:00,https://www.hindustantimes.com/music/z-boys-sid-if-you-can-dream-it-you-can-make-it-happen/story-12ZRAtLltsyXy8uFUr2hYJ.html,7,0.25
Hindiustan Times, Miley Cyrus breaks silence after being groped ‘ She can ’ t be grabbed without her consent ’,music,2019-06-05,21:10:00,https://www.hindustantimes.com/music/miley-cyrus-breaks-silence-after-being-groped-she-can-t-be-grabbed-without-her-consent/story-Z8SYLzBsvXobZEEMEJeGIL.html,8,0.52
Hindiustan Times, Priyanka Chopra Nick Jonas can ’ t keep their hands off each other in new behind the scenes video for Sucker Watch,music,2019-03-28,09:31:00,https://www.hindustantimes.com/music/priyanka-chopra-nick-jonas-can-t-keep-their-hands-off-each-other-in-new-behind-the-scenes-video-for-sucker-watch/story-B9slPjwwMzR2WGzEGUEmiM.html,9,0.27
Hindiustan Times, Lady Gaga has the most epic response to pregnancy rumours announces her next album in style,music,2019-03-13,18:36:00,https://www.hindustantimes.com/music/lady-gaga-has-the-most-epic-response-to-pregnancy-rumours-announces-her-next-album-in-style/story-TsZrW8HVW3S5RrxZe0X0JL.html,9,0.27
Hindiustan Times, Priyanka Chopra Nick Jonas collaborate in Jonas Brothers ’ music video Sucker Sophie Turner is there too Watch,music,2019-03-01,14:36:00,https://www.hindustantimes.com/music/priyanka-chopra-nick-jonas-collaborate-in-jonas-brothers-music-video-sucker-sophie-turner-is-there-too-watch/story-nCrN1mhTR7kAT9YgWtOzkJ.html,9,0.18
Hindiustan Times, Priyanka Chopra Nick Jonas announce Jonas Brothers ’ new song Cool amid divorce rumours,music,2019-04-03,11:53:00,https://www.hindustantimes.com/music/priyanka-chopra-nick-jonas-announce-jonas-brothers-new-song-cool-amid-divorce-rumours/story-P8aqRVj51JohqU6TgtGzkJ.html,9,0.33
Hindiustan Times, Australia ’ s indigenous soprano Deborah Cheetham makes India debut,music,2019-03-27,19:23:00,https://www.hindustantimes.com/music/australia-s-indigenous-soprano-deborah-cheetham-makes-india-debut/story-3zY3wmv6UKpYiEQrlBduSM.html,10,0.52
Hindiustan Times, Ed Sheeran married childhood girlfriend Cherry Seaborn in ‘ tiny winter wedding ’ before Christmas says report,music,2019-02-28,17:06:00,https://www.hindustantimes.com/music/ed-sheeran-married-childhood-girlfriend-cherry-seaborn-in-tiny-winter-wedding-before-christmas-says-report/story-oD6dezTAevxmb4lBICR40J.html,11,0.36
Hindiustan Times, Avi J on success of Kati Jeher I knew it would do well,music,2019-03-02,12:19:00,https://www.hindustantimes.com/music/avi-j-on-success-of-kati-jeher-i-knew-it-would-do-well/story-SaNmO5m5z75nQAQyvTXVII.html,11,0.33
Hindiustan Times, ‘ Madonna dances like me my husband says ’,music,2019-03-16,19:05:00,https://www.hindustantimes.com/music/madonna-dances-like-me-my-husband-says/story-l5doaFF17KEE2pBYgv8BdL.html,12,0.54
Hindiustan Times, Superwoman Lilly Singh almost sings Aankh Maare just like Neha Kakkar in new video Watch,music,2019-04-09,18:08:00,https://www.hindustantimes.com/music/superwoman-lilly-singh-almost-sings-aankh-maare-just-like-neha-kakkar-in-new-video-watch/story-q3RL7UsWDwCzoBAwUB8sVM.html,13,1.0
Hindiustan Times, Taylor Swift drops more clues ahead of releasing something special See pics,music,2019-04-23,18:50:00,https://www.hindustantimes.com/music/taylor-swift-drops-more-clues-ahead-of-releasing-something-special-see-pics/story-KvpatSmP5MZa0OPoSKgthJ.html,14,0.54
Hindiustan Times, Internet calls out Urvashi Rautela for sharing old pic with Justin Bieber as new ‘ birthday selfie ’,music,2019-02-26,14:53:00,https://www.hindustantimes.com/music/internet-calls-out-urvashi-rautela-for-sharing-old-pic-with-justin-bieber-as-new-birthday-selfie/story-fAILbjkwuQ9tbt0V9vzzyN.html,15,0.52
